"","model","RMSE","Rsquared","MAE"
"1","Random Forest",0.586556149435498,0.260993065706742,0.46370091971874
"2","Arbre CART",0.626712377292103,0.16201850895345,0.493193344217426
"3","Gradient boosting",0.58048182048175,0.278431302696244,0.454903253569325
"4","Régression linéaire",0.583490488472644,0.270685487527759,0.458385188105408
"5","Régression lin. backw.",0.583214219226219,0.27130466660288,0.458177079210077
"6","Régression lin. forw.",0.583370463742913,0.270938122772406,0.458298917589783
"7","Régression ridge-lasso",0.582935323837996,0.270532080156092,0.458327918927755
"8","SVM",0.598442217896582,0.243298240576112,0.46557062140102
"9","SVM lineaire",0.586623033552905,0.26657884601162,0.459308239218731
"10","Extra G. boosting",0.608559888940621,0.22452351850798,0.475049563787846
